gnd,age,ht,wt,wa,hdln,hdwd,ftln,ftwd,bld,lft,smk,alc
M,19,175,63.2,71.5,18.6,8,24.9,9.2,A,0,1,0
F,30,167.5,50.2,66.1,17.4,7,25,9.2,B,0,0,0
M,38,168.1,75.8,87.4,18.1,7.8,25.3,10.1,O,0,0,0
F,36,154.7,45.3,66.4,15.8,6.8,22.6,8.8,A,0,1,0
F,29,164.5,56.5,72.8,17.4,7.3,24.6,10.1,B,0,0,0
F,19,153.1,49.9,63.5,16.2,7.1,19.9,8.5,B,0,0,0
M,20,175.8,65.6,74.3,18.8,7.8,25.5,10.5,B,0,0,0
M,17,172.8,65.1,74.6,17.3,7.6,25.7,9.8,B,0,0,0
F,19,162.3,64.1,78,17,8,23.3,10.2,B,0,0,0
M,20,171.8,65.8,79.5,18.2,7.6,25.5,9.8,O,0,0,1
M,18,169.5,66.5,75.2,18.4,7.7,24.8,9.8,O,0,0,0
F,49,153.8,54.9,79.1,17,7.6,23.5,9.7,O,0,0,0
M,28,182.7,68,74.1,19.3,7.8,27.8,10.4,A,0,1,0
M,26,178.6,72.8,81.3,18.9,8.7,24.5,8.6,B,0,0,0
M,16,176.7,70.1,77,19.2,8.3,26,10.5,AB,0,0,0
F,34,158.5,45.1,64.6,16,7.5,22,9.5,B,0,0,0
F,53,164.9,70.5,87,17.8,8,24.3,9.5,B,0,1,0
F,35,166.7,56.6,71.1,17.2,7.1,24.5,9.3,B,0,0,0
F,NA,162.1,53,67.7,17.2,7,NA,9.2,AB,0,0,0
F,32,157.1,55.9,78.4,16.6,7.3,23,9.7,A,0,0,0
F,48,152.4,60.4,83.5,15.2,7.2,21.8,8.9,A,0,0,0
M,25,165.1,70.7,78.5,17.3,8.4,23.7,9.8,B,0,0,0
M,19,165.3,47.9,64.5,16.4,8,23.7,9.6,AB,0,1,0
F,17,168.5,48.4,62,17.1,7.2,24,9.6,A,1,0,0
F,44,165.9,45.6,71,17.5,8.2,24.1,10.2,B,0,NA,0
M,38,168.2,71.5,85.3,17.8,7.6,24.2,10.3,AB,0,1,0
M,19,177.6,63.3,71.7,18.6,8.3,24.6,9.1,B,0,1,0
F,16,150.9,61.5,77.1,15.4,7.1,21.7,9.2,A,0,0,0
F,16,156,64.4,82.5,16.1,7.1,23.7,9.3,B,0,0,0
M,27,190.5,80.3,78.3,20.2,8.3,27.8,10.8,O,0,0,0
M,31,177.7,92.5,99,18.8,8.5,26.4,10.6,A,0,1,0
M,19,170.7,55.7,69.5,16.6,7.4,22.8,8.7,O,0,0,0
M,23,168.6,54.1,69.2,18.2,7.9,24.3,9.8,O,0,0,0
F,20,153.9,40.8,62.3,16,6.8,22.3,8.5,A,0,0,0
M,18,174.5,57.2,69.3,18.6,7.9,25,9.8,O,0,0,0
M,16,165.5,56.9,NA,18.1,7.8,25.1,10.3,AB,1,0,0
F,37,165.3,63.1,76.2,18.1,7.1,25.2,9.4,O,0,1,NA
M,21,173,64.7,75,18.6,7.9,26.4,9.8,O,0,1,0
M,19,181.4,57.6,67.4,19.1,7.5,25.9,10,O,0,1,0
F,20,162,74.6,81.5,16.6,7.1,23.2,9.3,O,0,0,0
F,45,150,48.4,69.1,14.9,7,21.1,8.7,O,0,0,0
M,53,167.5,59.5,81.1,16.7,8.1,24,9.9,B,0,0,0
F,21,167.5,64.8,77.2,16,7.2,23.3,10,AB,0,0,0
M,36,164,62.1,92.6,17.6,8.1,24.8,10,A,0,1,0
F,36,156.3,47.6,64.5,17.7,7.6,22.9,9.2,B,0,0,0
F,31,156,60.9,87,16.4,8,22.6,8.7,B,0,0,0
F,19,164,55.6,71.8,17.6,6.9,24.2,9.3,O,0,0,0
M,28,171.2,74.9,87,17.2,8.2,25,10,O,0,1,0
F,17,162.9,58.9,77.5,16.4,7.2,24.1,9.2,A,0,0,1
M,18,177.7,68.5,76,18.2,8.6,24.3,10.8,AB,0,0,0
M,20,169.5,50.2,63.5,18.5,8.1,25.2,9.9,B,0,1,0
F,43,166.9,85.6,98.5,17.6,8.3,23.9,9.4,B,0,0,0
F,16,162,47.6,64.2,17.7,7.1,23.1,8.9,O,0,0,0
